AMERICAN ELEC PWR 6.125% CORPORATE UNITS 15/08/2025,AEPPZ,1309352952.0,48.98,"74,824",49.16,48.93,49.10,49.54,06/09/2023
AERCAP HOLDINGS N.V.,AER,15324729670.74,59.59,"870,185",60.15,59.06,59.74,60.00,06/09/2023
AES CORP,AES,24895546683.7,20.09,"7,058,920",20.53,19.835,20.48,20.41,06/09/2023
AES CORP CORP UNIT,AESC,968934769.92,78.84,"59,037",79.7213,78.31,79.7213,80.0082,06/09/2023
ATLAS ENERGY SOLUTIONS INC,AESI,577004220.24,17.58,"81,476",18.07,17.57,17.86,18.01,06/09/2023
AEVA TECHNOLOGIES INC,AEVA,475059691.18,1.39,"620,741",1.4798,1.36,1.40,1.39,06/09/2023
ADDVANTAGE TECHNOLOGIES GROUP INC,AEY,24635791.76,0.62,"142,311",0.66,0.6132,0.65,0.6401,06/09/2023
AETERNA ZENTARIS INC,AEZS,22580953.6,2.84,"4,310",2.98,2.84,2.92,2.92,06/09/2023
AURA FAT PROJECTS ACQUISITION CORP,AFAR,86758670.31,10.59,"70,510",10.59,10.58,10.59,10.58,06/09/2023
AURA FAT PROJECTS ACQUISITION CORP UNIT 1 COM CL A & 1 RED WT (31/03/2027),AFARU,4320897.0,10.50,100,10.50,10.50,10.50,10.60,06/09/2023
ALLIANCEBERNSTEIN NATL MUNI INC FD,AFB,232741091.18,10.66,"63,053",10.67,10.51,10.51,10.55,06/09/2023
AFFINITY BANCSHARE,AFBI,14737704.34,12.31,"4,588",12.405,12.30,12.30,12.4434,06/09/2023
AFC GAMMA INC,AFCG,490865756.5,12.25,"145,814",12.36,12.071,12.31,12.32,06/09/2023
AMERICAN FINANCIAL GROUP INC OHIO,AFG,10483076743.2,116.10,"331,649",116.95,115.75,116.17,116.80,06/09/2023
AMERICAN FINANCIAL GROUP INC OHIO 5.875% SUBORD DEB DUE 30/03/2059 USD25,AFGB,69066566.03,24.43,"3,681",24.5099,24.29,24.38,24.34,06/09/2023
AMERICAN FINANCIAL GROUP INC OHIO 5.125% SUBORD DEB DUE 15/12/2059 USD25,AFGC,62920601.0,21.40,"4,634",21.58,21.1259,21.31,21.40,06/09/2023
AMERICAN FINANCIAL GROUP INC OHIO 4.500% SUBORD DEB DUE 15/09/2060,AFGE,58140646.2,18.20,"35,126",18.25,18.04,18.07,17.98,06/09/2023
ACUTUS MEDICAL INC,AFIB,222116820.2,0.8815,"25,424",0.9173,0.8621,0.8701,0.90,06/09/2023
AFLAC INC,AFL,44196577073.55,68.97,"1,741,507",69.08,68.04,68.31,68.21,06/09/2023
AFFIMED N V,AFMD,227956586.74,0.7099,"1,273,333",0.7285,0.65,0.70,0.6956,06/09/2023
FORAFRIC GLOBAL PLC,AFRI,88180754.46,11.395,"25,634",11.50,11.15,11.15,11.20,06/09/2023
AFFIRM HLDGS INC,AFRM,67899220706.92,17.39,"27,936,406",19.58,17.36,19.18,18.85,06/09/2023
APOLLO SENIOR FLOATING RATE FD INC,AFT,180671058.81,12.51,"37,603",12.58,12.50,12.52,12.50,06/09/2023
AFTERNEXT HEALTHTECH ACQUISITION CO,AFTR,180237212.1,10.34,"8,289",10.36,10.34,10.36,10.355,06/09/2023
AFTERNEXT HEALTHTECH ACQUISITION CO UNIT 1 ORD SHS A & 1/3 WT EXP,AFTR.U,1420845.55,10.37,551,10.37,10.37,10.37,10.35,06/06/2023
FIRST MAJESTIC SILVER CORP,AG,9302880778.38,5.74,"3,065,141",5.8636,5.73,5.86,5.86,06/09/2023
AFRICAN GOLD ACQUISITION CORP,AGAC,342282888.88,10.48,"2,485",10.49,10.468,10.49,10.42,06/08/2023
AFRICAN GOLD ACQUISITION CORP UNITS 1 CL A & 3 QUARTERS OF ONE RED WT,AGAC.U,9856387.59,10.57,886,10.57,10.42,10.42,10.4507,06/08/2023
ALLIED GAMING,AGAE,19998481.79,1.09,"61,755",1.15,1.09,1.10,1.09,06/09/2023
AGBA GROUP HOLDING LIMITED,AGBA,139925764.8,1.60,"157,996",1.62,1.56,1.61,1.65,06/09/2023
AGCO CORP,AGCO,19358378209.62,122.83,"484,776",123.24,121.36,122.66,122.77,06/09/2023
ABRDN GLOBAL DYNAMIC DIVIDEND FUND,AGD,125044147.28,9.32,"87,817",9.38,9.30,9.33,9.30,06/09/2023
AGEX THERAPEUTICS INC,AGE,3790396.8,0.64,"11,574",0.67,0.6244,0.6244,0.6339,06/09/2023
AGENUS INC,AGEN,2430702948.32,1.99,"12,261,572",2.13,1.94,2.06,2.04,06/09/2023
ALAMOS GOLD INC,AGI,11649251635.32,12.36,"1,273,849",12.485,12.265,12.41,12.45,06/09/2023
AGILETHOUGHT INC,AGIL,6816941.04,0.7992,"28,423",0.80,0.78,0.80,0.7891,06/09/2023
AGIOS PHARMACEUTICALS INC,AGIO,3800069083.46,25.87,"223,612",26.71,25.87,26.71,26.60,06/09/2023
AGILON HEALTH INC,AGL,12884266790.47,20.77,"1,544,226",21.26,20.56,21.00,20.99,06/09/2023
AEGLEA BIOTHERAPEUTICS INC,AGLE,43792835.74,0.134,"1,271,849",0.1487,0.13,0.13,0.1294,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP,AGM,1832232595.93,150.59,"29,542",150.61,147.74,150.07,150.45,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP,AGM.A,8069808.89,127.27,338,127.27,125.95,125.95,121.77,06/08/2023
AGM GROUP HOLDINGS INC,AGMH,6630636.32,1.76,"1,317",1.78,1.76,1.77,1.77,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP 6% NON-CUM PFD SER'C'USD25.00,AGMpC,33220266.3,25.47,569,25.52,25.47,25.47,25.23,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP 5.7% NON CUMULATIVE PREFERRED STK SER E,AGMpE,20775002.35,23.9077,"2,108",23.9077,23.80,23.80,23.60,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP 5.250% NON CUM PREF STOCK SR F,AGMpF,68522722.5,21.75,"6,166",22.39,21.63,21.93,21.8885,06/09/2023
FEDERAL AGRICULTURAL MORTGAGE CORP 4.875% NON CUMULATIVE PREF STOCK SR G,AGMpG,57590848.24,21.02,"1,433",21.02,20.8299,20.8299,20.83,06/09/2023
AGNC INVESTMENT CORP,AGNC,29412418865.83,9.79,"13,678,811",9.815,9.70,9.74,9.73,06/09/2023
AGNC INVESTMENT CORP DEP SHS REPSTG 1/1000TH PFD SER G,AGNCL,242112556.71,21.87,"7,692",22.00,21.8114,21.905,21.82,06/09/2023
AGNC INVESTMENT CORP 6.875% DEP SHS REP 1/1000TH PFD SR D,AGNCM,182206566.72,22.08,"5,058",22.11,22.05,22.10,22.14,06/09/2023
AGNC INVESTMENT CORP 7% CUM RED REP 1/1000 INT PFD SHS SER C,AGNCN,296338445.57,25.39,"11,669",25.39,25.21,25.23,25.32,06/09/2023
AGNC INVESTMENT CORP 6.50% DEP SHS REP 1/1000 CUM PFD SER E,AGNCO,255564902.79,22.29,"8,640",22.34,22.22,22.31,22.25,06/09/2023
AGNC INVESTMENT CORP 6.125% CUM RED PREF STK SERIES F,AGNCP,330270631.96,20.84,"17,480",20.84,20.64,20.64,20.71,06/09/2023
AVANGRID INC,AGR,6127817011.5,38.13,"439,843",38.69,38.09,38.69,38.66,06/09/2023
AGRIFORCE GROWING SYS LTD,AGRI,28444709.76,0.24,"431,219",0.25,0.2306,0.25,0.2457,06/09/2023
ADECOAGRO S A,AGRO,1508321203.15,9.55,"691,857",9.60,9.45,9.45,9.45,06/09/2023
AGILE THERAPEUTICS INC,AGRX,64011468.0,3.48,"21,816",3.71,3.40,3.56,3.58,06/09/2023
PLAYAGS INC,AGS,694432578.42,6.09,"244,839",6.10,5.95,6.06,6.05,06/09/2023
AGILITI INC,AGTI,1214374963.58,17.62,"138,476",17.64,17.17,17.51,17.47,06/09/2023
ARGAN INC,AGX,690866151.03,38.19,"382,558",40.74,37.7901,40.00,44.24,06/09/2023
AGILYSYS INC,AGYS,2655069197.36,72.88,"107,928",73.34,72.21,72.39,72.39,06/09/2023
ADAPTHEALTH CORP,AHCO,3215678107.4,10.30,"994,223",10.46,10.21,10.38,10.41,06/09/2023
ARMADA HOFFLER PPTYS INC,AHH,913176705.49,11.81,"152,255",11.82,11.70,11.80,11.83,06/09/2023
ARMADA HOFFLER PPTYS INC 6.75% CUM RED PERP PREF STOCK SERIES A,AHHpA,69904334.5,22.75,"2,826",22.925,22.65,22.925,22.81,06/09/2023
